7211,年ごとの品目,2011 カレンダー,7211,,
6911,年ごとの品目,聖書を調べる－2011,6911,undefined,undefined
5710,年ごとの品目,「目ざめよ！」製本　2010,5710,undefined,undefined
5610,年ごとの品目,「ものみの塔」製本　2010,5610,undefined,undefined
5911,年ごとの品目,2011 年鑑,5911,undefined,undefined
2510,Watchtower Library,Watchtower Library-2010,2510,,
2507,Watchtower Library,Watchtower Library-2007,2507,,
2508,Watchtower Library,Watchtower Library-2008,2508,,
2509,Watchtower Library,Watchtower Library-2009,2509,,
4100,オーディオ,ＣＤ（アルバム）,4100,normal,sum
4300,オーディオ,ＣＤ（単品）雑誌以外,4300,normal,sum
9400,オーディオ,ＭＰ３（アルバム）,9400,normal,sum
9700,オーディオ,ＭＰ３（単品）雑誌以外,9700,normal,sum
5008,索引,索引（複数年）,5008,,
5009,索引,索引（単年）,5009,,
5200,書籍,他の書籍,5200,normal,sum
5205,書籍,偉大な教え手（旧）,5200,,
5207,書籍,真の平和と安全,5200,,
5210,書籍,若い時代,5200,,
5218,書籍,幸福,5200,,
5221,書籍,崇拝（旧）,5200,,
5224,書籍,平和の君,5200,,
5225,書籍,神の言葉,5225,,
5226,書籍,知識,5226,,
5227,書籍,幸せな家庭,5227,,
5228,書籍,創造者,5228,,
5229,書籍,神を崇拝する,5229,,
5230,書籍,エホバの日,5230,,
5231,書籍,「わたしの追随者」,5231,,
5232,書籍,わたしたちに対する神の言葉－エレミヤを通して,5200,,
5320,書籍,賛美を歌う（小）,5200,,
5322,書籍,聖書物語－縮小版,5322,,
5323,書籍,論じる,5323,,
5324,書籍,創造（小）,5324,,
5325,書籍,若い人が尋ねる，第１巻,5325,,
5326,書籍,探求,5326,,
5327,書籍,最も偉大な人,5327,,
5328,書籍,ダニエルの預言,5328,,
5329,書籍,イザヤの預言Ⅰ,5329,,
5330,書籍,イザヤの預言Ⅱ,5330,,
5331,書籍,エホバに近づきなさい,5331,,
5332,書籍,組織,5332,,
5334,書籍,聖書の教え,5334,,
5335,書籍,「神の愛」,5335,,
5336,書籍,若い人が尋ねる，第２巻,5336,,
5337,書籍,エホバに歌う,5337,,
5403,書籍,「聖書全体」,5403,,
5407,書籍,聖書物語,5407,,
5408,書籍,永遠に生きる,5200,,
5409,書籍,生命,5200,,
5410,書籍,啓示の書の最高潮,5410,,
5411,書籍,洞察,5411,,
5414,書籍,宣教学校,5414,,
5415,書籍,偉大な教え手から学ぶ,5415,,
5416,書籍,徹底的な証し,5416,,
5420,書籍,賛美を歌う－大判,5200,,
5437,書籍,エホバに歌う－大文字版,5437,,
5438,書籍,エホバに歌う－歌詞のみ、大文字版,5438,,
15004,書籍,組織（旧）,5200,old,normal
15007,書籍,神権宣教学校教科書（旧）,5200,old,normal
5411-1,書籍,洞察第１巻,5411,,
5411-2,書籍,洞察第２巻,5411,,
6200,書籍－大文字版,すべての大文字版書籍,6200,normal,sum
5100,聖書,その他の聖書,5100,normal,sum
5108,聖書,新世界訳　参照資料付き,5108,,
5112,聖書,新世界訳　ハードカバー,5112,,
5116,聖書,新世界訳　ソフトカバー,5116,,
5140,聖書,新世界訳　デラックス版（二色）,5140,,
5145,聖書,新世界訳　ソフトカバーポケット版（二色）,5145,,
9500,定期刊行物,「ものみの塔」と「目ざめよ！」－ＣＤ,9500,normal,sum
9600,定期刊行物,「ものみの塔」と「目ざめよ！」－ＭＰ３,9600,normal,sum
5005,年ごとの品目,年鑑（他のすべての年）,5005,normal,sum
5006,年ごとの品目,「ものみの塔」製本（他のすべての年）,5006,normal,sum
5007,年ごとの品目,「目ざめよ！」製本（他のすべての年）,5007,normal,sum
5607,年ごとの品目,「ものみの塔」製本　2007,5006,,
5608,年ごとの品目,「ものみの塔」製本　2008,5006,,
5609,年ごとの品目,「ものみの塔」製本　2009,5006,,
5707,年ごとの品目,「目ざめよ！」製本　2007,5007,,
5708,年ごとの品目,「目ざめよ！」製本　2008,5007,,
5709,年ごとの品目,「目ざめよ！」製本　2009,5007,,
5908,年ごとの品目,2008 年鑑,5005,,
5909,年ごとの品目,2009 年鑑,5005,,
5910,年ごとの品目,2010 年鑑,5005,,
6908,年ごとの品目,聖書を調べる－2008,6908,,
6909,年ごとの品目,聖書を調べる－2009,6909,,
6910,年ごとの品目,聖書を調べる－2010,6910,,
7208,年ごとの品目,2008 カレンダー,7208,,
7209,年ごとの品目,2009 カレンダー,7209,,
7210,年ごとの品目,2010 カレンダー,7210,,
19202,年ごとの品目,その他のカレンダー,DUMMY,old,sum
7071,パンフレット,楽園への道を見出す方法,7071,,
7074,パンフレット,真理を知りたいと思われませんか,7074,,
7100,パンフレット,他のパンフレット,7100,,
7113,パンフレット,聖書が信頼できる理由,7113,,
7114,パンフレット,エホバの証人はどのようなことを信じていますか,7114,,
7115,パンフレット,平和な新しい世での生活,7115,,
7116,パンフレット,亡くなった家族のための希望,7116,,
7117,パンフレット,平和な新しい世－いつの日か到来しますか,7117,,
7118,パンフレット,エホバの証人－どのようなことを信じている人々ですか,7118,,
7119,パンフレット,この世界は存続しますか,7119,,
7120,パンフレット,憂いに沈んだ人々への慰め,7120,,
7121,パンフレット,家族として生活を楽しむ,7121,,
7122,パンフレット,実際に世界を支配しているのはだれですか,7122,,
7123,パンフレット,エホバ－どのような方ですか,7123,,
7124,パンフレット,イエス・キリスト－どのような方ですか,7124,,
7125,パンフレット,不滅の霊,7125,,
7126,パンフレット,聖書を知る,7126,,
7127,パンフレット,苦しみは終わる,7127,,
7171,パンフレット,わたしたちの生活は運命に支配されていますか,7171,,
7172,パンフレット,最も偉大な名,7172,,
7173,パンフレット,エホバの証人とはどんな人たちか,7173,,
7174,パンフレット,地獄の火－それは神の公正の一部ですか,7174,,
7175,パンフレット,いつの日か苦しみは,7100,,
7182,パンフレット,あなたも創造者を信頼できます,7182,,
9200,ビデオ／ＤＶＤ,すべてのＤＶＤ（雑誌以外）,9200,normal,sum
19201,ビデオ／ＤＶＤ,カセット,DUMMY,old,sum
6535,ブロシュアーと小冊子,話し合いのための聖書の話題,6600,,
6536,ブロシュアーと小冊子,神の真理の道は開放に通じる,6536,,
6537,ブロシュアーと小冊子,父を尋ね求めて,6600,,
6538,ブロシュアーと小冊子,クルクシェトラからハルマゲドンまで,6538,,
6539,ブロシュアーと小冊子,死に対する勝利,6539,,
6600,ブロシュアーと小冊子,他のブロシュアーと小冊子,6600,normal,sum
6612,ブロシュアーと小冊子,神への真の服従が求められる時,6612,,
6618,ブロシュアーと小冊子,読み書きに励む,6618,,
6620,ブロシュアーと小冊子,地上での生活,6620,,
6622,ブロシュアーと小冊子,神のみ名,6622,,
6623,ブロシュアーと小冊子,政府,6623,,
